country,year,unemployment,inflation,representation,centralization,class
1,1951,1.3,19.8,43,0,296
1,1952,2.2,17.2,43,0,397
1,1953,2.5,4.3,43,0,360
1,1954,1.7,0.7,47,0,300
1,1955,1.4,2,38,0,326
1,1956,1.8,6.3,38,0,352
1,1957,2.3,2.5,38,0,195
1,1958,2.7,1.3,36,0,133
1,1959,2.6,1.8,36,0,109
1,1960,2.5,3.8,36,0,208
1,1961,2.5,2.5,49,0,173
1,1962,2.6,-0.3,49,0,142
1,1963,2.1,0.5,41,0,158
1,1964,1.6,2.4,41,0,243
1,1965,1.5,4,41,0,211
1,1966,1.7,3,33,0,183
1,1967,1.9,3.2,33,0,168
1,1968,1.8,2.7,33,0,249
1,1969,1.8,2.9,47,0,439
1,1970,1.6,3.9,47,0,515
1,1971,1.9,6.1,47,0,645
1,1972,2.6,5.9,53,0,416
1,1973,2.3,9.5,53,0,527
1,1974,2.6,15.1,52,0,1252
1,1975,4.8,15.1,28,0,702
1,1976,4.7,13.5,28,0,760
1,1977,5.6,12.3,30,0,328
1,1978,6.4,7.9,30,0,421
1,1979,6.1,9.1,30,0,778
1,1980,6,10.1,40,0,633
1,1981,5.7,9.7,40,0,779
1,1982,7,11.2,40,0,370
1,1983,9.8,10.1,60,0,313
1,1984,8.9,4,55,0,241
1,1985,8.2,6.7,55,0,226
2,1951,3.5,27.5,43,1,43
2,1952,4.7,13.6,43,1,39
2,1953,5.8,-1.6,46,1,20
2,1954,4.9,4,46,1,26
2,1955,3.6,0,46,1,28
2,1956,3.5,3.9,46,1,72
2,1957,3.3,2.8,46,1,21
2,1958,3.6,2,46,1,22
2,1959,3.3,1.1,47,1,23
2,1960,2.5,2,47,1,30
2,1961,2,3.5,47,1,49
2,1962,1.9,4.4,46,1,277
2,1963,2.1,2.7,46,1,15
2,1964,1.9,3.9,46,1,15
2,1965,1.9,4.9,46,1,64
2,1966,1.8,2.2,47,1,30
2,1967,1.8,4,47,1,7
2,1968,2,2.8,47,1,3
2,1969,1.8,3.1,47,1,8
2,1970,1.5,4.4,49,1,11
2,1971,1.2,4.7,49,1,2
2,1972,1.1,6.4,50,1,6
2,1973,1,7.5,50,1,61
2,1974,1.1,9.5,50,1,3
2,1975,1.7,8.5,50,1,2
2,1976,1.7,7.3,50,1,0
2,1977,1.6,5.5,50,1,0
2,1978,1.8,3.6,50,1,4
2,1979,1.7,3.7,51,1,0
2,1980,1.6,6.3,51,1,6
2,1981,2.1,6.8,51,1,1
2,1982,3.1,5.4,51,1,0
2,1983,3.8,3.3,49,1,0
2,1984,3.9,5.7,49,1,0
2,1985,4.1,3.2,49,1,8
3,1951,4.5,9.6,39,0,242
3,1952,5.2,0.9,39,0,356
3,1953,5.5,-0.3,39,0,170
3,1954,5.2,1.3,42,0,182
3,1955,4,-0.5,42,0,403
3,1956,2.9,2.8,42,0,372
3,1957,2.4,3.2,42,0,1453
3,1958,3.4,1.3,40,0,114
3,1959,4.1,1.2,40,0,383
3,1960,3.4,0.3,40,0,129
3,1961,2.7,1,42,0,35
3,1962,2.1,1.4,42,0,100
3,1963,1.7,2.2,42,0,90
3,1964,1.5,4.2,42,0,157
3,1965,1.7,4.1,33,0,25
3,1966,1.8,4.2,33,0,189
3,1967,2.5,2.9,33,0,64
3,1968,2.9,2.7,30,0,129
3,1969,2.3,3.8,30,0,56
3,1970,1.9,3.9,30,0,483
3,1971,1.8,4.3,30,0,410
3,1972,2.3,5.5,31,0,117
3,1973,2.3,7,31,0,282
3,1974,2.4,12.7,29,0,184
3,1975,4.4,12.8,29,0,196
3,1976,5.8,9.2,29,0,291
3,1977,6.6,7.1,30,0,216
3,1978,7.1,4.5,30,0,325
3,1979,7.3,4.5,29,0,197
3,1980,7.7,6.7,29,0,69
4,1951,2.4,10.4,78,0,242
4,1952,2.9,2.5,78,0,5918
4,1953,2.9,-0.9,73,0,335
4,1954,4.5,0.6,73,0,372
4,1955,4.3,0.2,73,0,454
